Output,Accuracy
"['Sunflower_053.jpg', 'Desert_048.jpg', 'Sunflower_177.jpg', 'Sunflower_010.jpg', 'Castle_193.jpg', 'Castle_197.jpg', 'Eagle_200.jpg', 'Car_091.jpg', 'Elephant_072.jpg', 'Eagle_198.jpg', 'Eagle_141.jpg']",0.2
"['Sunflower_054.jpg', 'Elephant_093.jpg', 'DeerAntelope_018.jpg', 'Surfs_052.jpg', 'Ship_029.jpg', 'Sunflower_013.jpg', 'Castle_009.jpg', 'Lion_083.jpg', 'SubSea_048.jpg', 'Sunflower_040.jpg', 'Lion_103.jpg']",0.2
"['Sunflower_055.jpg', 'Sunflower_062.jpg', 'Grass_026.jpg', 'Mountain_047.jpg', 'Grass_131.jpg', 'Plane_077.jpg', 'Grass_060.jpg', 'Archit_161.jpg', 'Desert_005.jpg', 'Ship_142.jpg', 'Indoor_147.jpg']",0.1
"['Sunflower_056.jpg', 'Sunflower_121.jpg', 'Grass_032.jpg', 'Flower_096.jpg', 'Plane_053.jpg', 'Desert_062.jpg', 'Desert_157.jpg', 'Beach_117.jpg', 'Citynight_176.jpg', 'Mountain_138.jpg', 'Grass_034.jpg']",0.1
"['Sunflower_057.jpg', 'Group_049.jpg', 'Sunflower_008.jpg', 'Sunflower_056.jpg', 'Sunflower_074.jpg', 'Sculpt_099.jpg', 'Grass_038.jpg', 'Elephant_034.jpg', 'Pumpkin_112.jpg', 'Tiger_053.jpg', 'Stalactite_196.jpg']",0.3
"['Sunflower_058.jpg', 'Sunset_178.jpg', 'Sunset_040.jpg', 'Sunset_023.jpg', 'Penguin_150.jpg', 'Sunset_077.jpg', 'DeerAntelope_136.jpg', 'Archit_166.jpg', 'Sunset_127.jpg', 'Eagle_125.jpg', 'Sunset_119.jpg']",0.0
"['Sunflower_059.jpg', 'Owls_058.jpg', 'Sunflower_013.jpg', 'Sunflower_187.jpg', 'Sunflower_128.jpg', 'Sunflower_120.jpg', 'Sunflower_136.jpg', 'Owls_059.jpg', 'Sunflower_073.jpg', 'Penguin_038.jpg', 'Eagle_092.jpg']",0.6
"['Sunflower_060.jpg', 'Pumpkin_033.jpg', 'Tiger_067.jpg', 'Sunflower_118.jpg', 'Dog_109.jpg', 'Sunset_034.jpg', 'Sky_092.jpg', 'Dog_145.jpg', 'Sunset_182.jpg', 'Sunflower_059.jpg', 'Waterfall_156.jpg']",0.2
"['Sunflower_061.jpg', 'Sunset_190.jpg', 'Sculpt_056.jpg', 'Sunflower_140.jpg', 'Sunset_006.jpg', 'Eagle_019.jpg', 'Eagle_033.jpg', 'DeerAntelope_146.jpg', 'Eagle_119.jpg', 'Eagle_140.jpg', 'Flower_124.jpg']",0.1
"['Sunflower_062.jpg', 'Grass_026.jpg', 'Grass_060.jpg', 'Mountain_078.jpg', 'Desert_005.jpg', 'Lion_104.jpg', 'Grass_055.jpg', 'Grass_017.jpg', 'Plane_097.jpg', 'Mountain_047.jpg', 'Sunflower_055.jpg']",0.1
"['Sunflower_063.jpg', 'Doors_166.jpg', 'Sunflower_174.jpg', 'Waterfall_142.jpg', 'Pumpkin_020.jpg', 'Tiger_054.jpg', 'Grass_010.jpg', 'Sunset_131.jpg', 'Sunflower_161.jpg', 'Feasts_187.jpg', 'Bus_023.jpg']",0.2
"['Sunflower_064.jpg', 'Sunflower_003.jpg', 'Grass_019.jpg', 'Satelliteimage_100.jpg', 'Grass_065.jpg', 'DeerAntelope_010.jpg', 'Group_145.jpg', 'Beach_175.jpg', 'Beach_138.jpg', 'Elephant_067.jpg', 'Sculpt_054.jpg']",0.1
"['Sunflower_065.jpg', 'Waterfall_153.jpg', 'Sunset_183.jpg', 'Sunflower_010.jpg', 'Desert_196.jpg', 'Model_022.jpg', 'Elephant_135.jpg', 'Sunset_025.jpg', 'Model_093.jpg', 'Elephant_008.jpg', 'Car_132.jpg']",0.1
"['Sunflower_066.jpg', 'DeerAntelope_152.jpg', 'DeerAntelope_107.jpg', 'Pumpkin_145.jpg', 'Soccer_166.jpg', 'Penguin_060.jpg', 'Elephant_145.jpg', 'Lion_104.jpg', 'Satelliteimage_006.jpg', 'Indoor_080.jpg', 'Sunflower_197.jpg']",0.1
"['Sunflower_067.jpg', 'Elephant_037.jpg', 'Beach_035.jpg', 'Cropcycle_052.jpg', 'Archit_200.jpg', 'Sculpt_173.jpg', 'Grass_172.jpg', 'Beach_047.jpg', 'Grass_015.jpg', 'Mountain_106.jpg', 'Elephant_042.jpg']",0.0
"['Sunflower_068.jpg', 'Stalactite_152.jpg', 'Surfs_130.jpg', 'Satelliteimage_010.jpg', 'Tiger_154.jpg', 'Lion_158.jpg', 'Ship_068.jpg', 'Sculpt_111.jpg', 'Mountain_018.jpg', 'Waterfall_194.jpg', 'Group_092.jpg']",0.0
"['Sunflower_069.jpg', 'Sunflower_036.jpg', 'Dog_132.jpg', 'Sunflower_010.jpg', 'Eagle_147.jpg', 'Ship_057.jpg', 'Sunflower_131.jpg', 'DeerAntelope_163.jpg', 'Sunflower_094.jpg', 'Sunset_192.jpg', 'Sunflower_164.jpg']",0.5
"['Sunflower_070.jpg', 'Lion_091.jpg', 'Soccer_165.jpg', 'Sunflower_104.jpg', 'Lion_055.jpg', 'Feasts_101.jpg', 'Cartoon_176.jpg', 'Sunflower_052.jpg', 'Cartoon_187.jpg', 'Soccer_174.jpg', 'Owls_194.jpg']",0.2
"['Sunflower_071.jpg', 'Model_142.jpg', 'Feasts_132.jpg', 'Flower_009.jpg', 'Dog_143.jpg', 'DeerAntelope_064.jpg', 'Elephant_139.jpg', 'Owls_152.jpg', 'Billiardsball_155.jpg', 'Feasts_030.jpg', 'Group_075.jpg']",0.0
"['Sunflower_072.jpg', 'Elephant_002.jpg', 'Sculpt_033.jpg', 'Citynight_009.jpg', 'Grass_127.jpg', 'Grass_045.jpg', 'Tiger_010.jpg', 'Elephant_016.jpg', 'Dog_076.jpg', 'Sculpt_010.jpg', 'Group_111.jpg']",0.0
"['Sunflower_073.jpg', 'Sunflower_128.jpg', 'Sunflower_136.jpg', 'Owls_058.jpg', 'Sunflower_120.jpg', 'Tiger_052.jpg', 'Elephant_144.jpg', 'Sunflower_059.jpg', 'Sunset_037.jpg', 'Flower_146.jpg', 'Tiger_194.jpg']",0.4
"['Sunflower_074.jpg', 'Flower_121.jpg', 'Bus_187.jpg', 'Sunflower_057.jpg', 'Sunflower_121.jpg', 'Sunflower_008.jpg', 'Dog_196.jpg', 'Sunflower_190.jpg', 'Sunflower_056.jpg', 'Sculpt_099.jpg', 'Flower_183.jpg']",0.5
"['Sunflower_075.jpg', 'Billiardsball_001.jpg', 'Citynight_136.jpg', 'Masks_087.jpg', 'Waterfall_068.jpg', 'Owls_013.jpg', 'Model_095.jpg', 'Pumpkin_014.jpg', 'Lion_022.jpg', 'Lion_119.jpg', 'Lion_186.jpg']",0.0
"['Sunflower_076.jpg', 'Surfs_149.jpg', 'Surfs_019.jpg', 'RacingMotor_164.jpg', 'Desert_132.jpg', 'SubSea_044.jpg', 'Bus_102.jpg', 'Castle_102.jpg', 'Castle_064.jpg', 'Grass_107.jpg', 'Mountain_010.jpg']",0.0
"['Sunflower_077.jpg', 'Lion_019.jpg', 'Model_120.jpg', 'Lion_101.jpg', 'Feasts_160.jpg', 'Doors_094.jpg', 'Elephant_173.jpg', 'Masks_046.jpg', 'Grass_166.jpg', 'Feasts_085.jpg', 'Sculpt_165.jpg']",0.0
"['Sunflower_078.jpg', 'Group_122.jpg', 'Model_148.jpg', 'Sculpt_108.jpg', 'Group_052.jpg', 'Pumpkin_132.jpg', 'Pumpkin_069.jpg', 'Sunflower_113.jpg', 'Grass_068.jpg', 'Group_119.jpg', 'Feasts_199.jpg']",0.1
"['Sunflower_079.jpg', 'Tiger_152.jpg', 'Sunset_048.jpg', 'Eagle_076.jpg', 'Planet_148.jpg', 'Eagle_021.jpg', 'Sunset_169.jpg', 'Owls_127.jpg', 'Owls_135.jpg', 'Owls_064.jpg', 'Flower_003.jpg']",0.0
"['Sunflower_080.jpg', 'Stalactite_173.jpg', 'Tiger_197.jpg', 'Owls_007.jpg', 'Owls_190.jpg', 'Baseball_126.jpg', 'Sunset_014.jpg', 'Sunset_044.jpg', 'Flower_122.jpg', 'Owls_083.jpg', 'SubSea_069.jpg']",0.0
"['Sunflower_081.jpg', 'Tennis_008.jpg', 'Sunflower_017.jpg', 'Sunflower_086.jpg', 'Flower_157.jpg', 'Tennis_010.jpg', 'Plane_031.jpg', 'Surfs_120.jpg', 'Masks_162.jpg', 'Surfs_140.jpg', 'Group_049.jpg']",0.2
"['Sunflower_082.jpg', 'DeerAntelope_194.jpg', 'Baseball_139.jpg', 'RacingMotor_142.jpg', 'Tiger_014.jpg', 'F1_199.jpg', 'RacingMotor_195.jpg', 'Lion_050.jpg', 'Cartoon_044.jpg', 'Penguin_158.jpg', 'Cartoon_182.jpg']",0.0
"['Sunflower_083.jpg', 'Eagle_034.jpg', 'Sunflower_078.jpg', 'Model_092.jpg', 'Sculpt_108.jpg', 'Sunflower_113.jpg', 'Waterfall_150.jpg', 'Waterfall_012.jpg', 'Sculpt_168.jpg', 'Stalactite_007.jpg', 'Pumpkin_167.jpg']",0.2
"['Sunflower_084.jpg', 'RacingMotor_159.jpg', 'Group_081.jpg', 'Sculpt_155.jpg', 'Feasts_044.jpg', 'Tennis_036.jpg', 'Group_074.jpg', 'Castle_154.jpg', 'Sunflower_185.jpg', 'Sunflower_003.jpg', 'Group_140.jpg']",0.2
"['Sunflower_085.jpg', 'Sunflower_051.jpg', 'Eagle_065.jpg', 'Mountain_145.jpg', 'Mountain_142.jpg', 'Lion_092.jpg', 'Pumpkin_130.jpg', 'Sunflower_004.jpg', 'Eagle_017.jpg', 'Eagle_166.jpg', 'Eagle_012.jpg']",0.2
"['Sunflower_086.jpg', 'Sunflower_008.jpg', 'Lion_007.jpg', 'Flower_143.jpg', 'DeerAntelope_007.jpg', 'Group_049.jpg', 'Indoor_138.jpg', 'Sunflower_017.jpg', 'Indoor_167.jpg', 'Dog_051.jpg', 'Flower_157.jpg']",0.2
"['Sunflower_087.jpg', 'Indoor_077.jpg', 'Sunflower_128.jpg', 'Flower_189.jpg', 'Sky_143.jpg', 'Model_190.jpg', 'Sunset_179.jpg', 'Sky_044.jpg', 'Pumpkin_150.jpg', 'Owls_058.jpg', 'F1_021.jpg']",0.1
"['Sunflower_088.jpg', 'Elephant_146.jpg', 'Penguin_058.jpg', 'Group_021.jpg', 'Desert_188.jpg', 'Group_055.jpg', 'Satelliteimage_136.jpg', 'Archit_156.jpg', 'Penguin_110.jpg', 'Group_154.jpg', 'Sunflower_165.jpg']",0.1
"['Sunflower_089.jpg', 'Stalactite_124.jpg', 'Stalactite_086.jpg', 'Elephant_126.jpg', 'Stalactite_061.jpg', 'Lion_183.jpg', 'Stalactite_091.jpg', 'Desert_088.jpg', 'Lion_192.jpg', 'Feasts_134.jpg', 'DeerAntelope_094.jpg']",0.0
"['Sunflower_090.jpg', 'Sunflower_003.jpg', 'Group_145.jpg', 'Sculpt_053.jpg', 'Elephant_025.jpg', 'Elephant_024.jpg', 'Sunflower_024.jpg', 'Sunflower_025.jpg', 'Elephant_068.jpg', 'Sunflower_097.jpg', 'Sunflower_023.jpg']",0.5
"['Sunflower_091.jpg', 'Sunflower_001.jpg', 'Sunflower_127.jpg', 'Sunflower_023.jpg', 'DeerAntelope_033.jpg', 'Sunflower_090.jpg', 'Tiger_042.jpg', 'F1_180.jpg', 'Sunflower_097.jpg', 'Car_003.jpg', 'Group_145.jpg']",0.5
"['Sunflower_092.jpg', 'F1_048.jpg', 'DeerAntelope_126.jpg', 'Plane_071.jpg', 'RacingMotor_185.jpg', 'Beach_063.jpg', 'Tennis_027.jpg', 'RacingMotor_128.jpg', 'Archit_165.jpg', 'Dog_081.jpg', 'Beach_069.jpg']",0.0
"['Sunflower_093.jpg', 'Beach_014.jpg', 'Tiger_193.jpg', 'Castle_022.jpg', 'Castle_119.jpg', 'Penguin_027.jpg', 'Soccer_187.jpg', 'Waterfall_159.jpg', 'Elephant_086.jpg', 'Lion_144.jpg', 'Plane_032.jpg']",0.0
"['Sunflower_094.jpg', 'Castle_133.jpg', 'Desert_041.jpg', 'DeerAntelope_163.jpg', 'Sunflower_069.jpg', 'Cartoon_042.jpg', 'Sunset_192.jpg', 'Castle_142.jpg', 'Cartoon_052.jpg', 'Dog_132.jpg', 'Desert_199.jpg']",0.1
"['Sunflower_095.jpg', 'Sunflower_040.jpg', 'Sunflower_198.jpg', 'Soccer_181.jpg', 'Tiger_033.jpg', 'Elephant_189.jpg', 'Satelliteimage_040.jpg', 'Penguin_053.jpg', 'Surfs_064.jpg', 'Sunflower_118.jpg', 'Eagle_041.jpg']",0.3
"['Sunflower_096.jpg', 'Dog_032.jpg', 'Sunflower_124.jpg', 'Model_007.jpg', 'Model_056.jpg', 'Sunflower_112.jpg', 'Sunflower_195.jpg', 'Flower_163.jpg', 'Elephant_034.jpg', 'Sky_025.jpg', 'Sunflower_047.jpg']",0.4
"['Sunflower_097.jpg', 'Sunflower_024.jpg', 'Sunflower_023.jpg', 'Sunflower_090.jpg', 'Group_145.jpg', 'Sunflower_001.jpg', 'Sunflower_025.jpg', 'Sunflower_091.jpg', 'Elephant_016.jpg', 'Elephant_067.jpg', 'Sunflower_003.jpg']",0.7
"['Sunflower_098.jpg', 'Elephant_023.jpg', 'Sunflower_129.jpg', 'Feasts_025.jpg', 'Feasts_174.jpg', 'Bus_007.jpg', 'Sunflower_161.jpg', 'Waterfall_092.jpg', 'Sunflower_048.jpg', 'Elephant_066.jpg', 'Elephant_014.jpg']",0.3
"['Sunflower_099.jpg', 'Mountain_017.jpg', 'Sunflower_197.jpg', 'Desert_130.jpg', 'Surfs_167.jpg', 'Sunflower_005.jpg', 'Mountain_010.jpg', 'Model_131.jpg', 'Surfs_019.jpg', 'Eagle_165.jpg', 'Sunflower_066.jpg']",0.3
"['Sunflower_100.jpg', 'Indoor_160.jpg', 'Sunflower_035.jpg', 'DeerAntelope_122.jpg', 'Lion_173.jpg', 'Castle_082.jpg', 'F1_186.jpg', 'Castle_093.jpg', 'Sunflower_043.jpg', 'Castle_191.jpg', 'Archit_129.jpg']",0.2
"['Sunflower_101.jpg', 'AncestorDinoArt_056.jpg', 'Sunflower_013.jpg', 'Sunflower_059.jpg', 'Mountain_080.jpg', 'Penguin_037.jpg', 'Sunflower_050.jpg', 'Sunflower_130.jpg', 'Flower_157.jpg', 'Elephant_084.jpg', 'DeerAntelope_122.jpg']",0.4
"['Sunflower_102.jpg', 'Satelliteimage_192.jpg', 'Sunset_152.jpg', 'Elephant_026.jpg', 'Cropcycle_094.jpg', 'DeerAntelope_034.jpg', 'Grass_082.jpg', 'Beach_152.jpg', 'Tiger_145.jpg', 'Desert_144.jpg', 'Cropcycle_187.jpg']",0.0
"['Sunflower_103.jpg', 'Indoor_023.jpg', 'Dog_196.jpg', 'Flower_121.jpg', 'Indoor_053.jpg', 'Dog_144.jpg', 'Sunflower_008.jpg', 'Flower_183.jpg', 'SubSea_115.jpg', 'Sunflower_017.jpg', 'Grass_031.jpg']",0.2
"['Sunflower_104.jpg', 'Sunflower_070.jpg', 'Soccer_174.jpg', 'Lion_091.jpg', 'Cartoon_199.jpg', 'Basketball_071.jpg', 'Soccer_165.jpg', 'Pumpkin_007.jpg', 'Cartoon_140.jpg', 'Sunflower_052.jpg', 'Cartoon_176.jpg']",0.2
"['Sunflower_105.jpg', 'Sunflower_070.jpg', 'Cartoon_068.jpg', 'Penguin_177.jpg', 'Pumpkin_117.jpg', 'Owls_055.jpg', 'Basketball_131.jpg', 'Pumpkin_007.jpg', 'Flower_109.jpg', 'DeerAntelope_178.jpg', 'Cartoon_041.jpg']",0.1
"['Sunflower_106.jpg', 'Owls_048.jpg', 'Baseball_186.jpg', 'Sunset_020.jpg', 'Sunset_104.jpg', 'Beach_066.jpg', 'Grass_179.jpg', 'Baseball_143.jpg', 'Volleyball_032.jpg', 'Baseball_004.jpg', 'Eagle_136.jpg']",0.0
"['Sunflower_107.jpg', 'Sculpt_033.jpg', 'Grass_045.jpg', 'Indoor_153.jpg', 'Group_192.jpg', 'Archit_087.jpg', 'Bus_151.jpg', 'Bus_180.jpg', 'Grass_114.jpg', 'Citynight_050.jpg', 'Bus_149.jpg']",0.0
"['Sunflower_108.jpg', 'Sunflower_178.jpg', 'Ship_020.jpg', 'Sunflower_013.jpg', 'Elephant_059.jpg', 'Car_160.jpg', 'Desert_197.jpg', 'AncestorDinoArt_193.jpg', 'AncestorDinoArt_036.jpg', 'Plane_023.jpg', 'AncestorDinoArt_058.jpg']",0.2
"['Sunflower_109.jpg', 'Sunflower_151.jpg', 'Sunflower_114.jpg', 'Sunflower_126.jpg', 'Eagle_097.jpg', 'Desert_176.jpg', 'Desert_200.jpg', 'Lion_034.jpg', 'ClassicalPainting_061.jpg', 'Desert_175.jpg', 'Flower_018.jpg']",0.3
"['Sunflower_110.jpg', 'Flower_024.jpg', 'DeerAntelope_178.jpg', 'Dog_097.jpg', 'Dog_072.jpg', 'Owls_055.jpg', 'SubSea_079.jpg', 'Sunflower_132.jpg', 'Volleyball_023.jpg', 'Soccer_107.jpg', 'Volleyball_040.jpg']",0.1
"['Sunflower_111.jpg', 'Eagle_020.jpg', 'Eagle_071.jpg', 'Sunflower_140.jpg', 'Sculpt_056.jpg', 'Sky_178.jpg', 'Sky_150.jpg', 'Sunflower_010.jpg', 'Dog_108.jpg', 'Plane_072.jpg', 'Sunflower_160.jpg']",0.3
"['Sunflower_112.jpg', 'Bus_182.jpg', 'Sky_025.jpg', 'Sunflower_096.jpg', 'Sunflower_016.jpg', 'Soccer_200.jpg', 'Sky_074.jpg', 'Elephant_121.jpg', 'Model_083.jpg', 'Dog_123.jpg', 'Plane_069.jpg']",0.2
"['Sunflower_113.jpg', 'Beach_094.jpg', 'Doors_100.jpg', 'Group_052.jpg', 'Doors_199.jpg', 'Lion_200.jpg', 'Dog_024.jpg', 'Stalactite_132.jpg', 'ClassicalPainting_127.jpg', 'Sunflower_078.jpg', 'Elephant_114.jpg']",0.1
"['Sunflower_114.jpg', 'Lion_034.jpg', 'Sunflower_109.jpg', 'Sunflower_126.jpg', 'Sunflower_151.jpg', 'Sunset_001.jpg', 'Desert_176.jpg', 'Desert_200.jpg', 'Plane_110.jpg', 'Eagle_192.jpg', 'ClassicalPainting_042.jpg']",0.3
"['Sunflower_115.jpg', 'Sculpt_038.jpg', 'Car_156.jpg', 'Ship_032.jpg', 'Surfs_134.jpg', 'Ship_060.jpg', 'Sunflower_111.jpg', 'Lion_084.jpg', 'Archit_010.jpg', 'Ship_008.jpg', 'Sculpt_056.jpg']",0.1
"['Sunflower_116.jpg', 'Sunflower_137.jpg', 'Sunflower_143.jpg', 'Plane_130.jpg', 'Penguin_136.jpg', 'Sunflower_049.jpg', 'Model_029.jpg', 'Sunflower_124.jpg', 'Castle_003.jpg', 'AncestorDinoArt_063.jpg', 'Eagle_118.jpg']",0.4
"['Sunflower_117.jpg', 'Group_106.jpg', 'Group_097.jpg', 'Car_138.jpg', 'Tiger_009.jpg', 'Waterfall_147.jpg', 'Sculpt_175.jpg', 'Sculpt_193.jpg', 'Group_068.jpg', 'Car_109.jpg', 'Car_180.jpg']",0.0
"['Sunflower_118.jpg', 'Penguin_120.jpg', 'Sunflower_136.jpg', 'Elephant_086.jpg', 'Soccer_167.jpg', 'DeerAntelope_103.jpg', 'Tiger_067.jpg', 'Penguin_027.jpg', 'Sunflower_168.jpg', 'Beach_099.jpg', 'Castle_119.jpg']",0.2
"['Sunflower_119.jpg', 'F1_087.jpg', 'Archit_199.jpg', 'F1_154.jpg', 'F1_035.jpg', 'RacingMotor_100.jpg', 'Surfs_184.jpg', 'Feasts_041.jpg', 'F1_141.jpg', 'F1_092.jpg', 'F1_061.jpg']",0.0
"['Sunflower_120.jpg', 'Sunflower_050.jpg', 'Sunflower_130.jpg', 'Owls_058.jpg', 'Lion_103.jpg', 'Elephant_099.jpg', 'Sunflower_136.jpg', 'Sunflower_073.jpg', 'AncestorDinoArt_056.jpg', 'Sunflower_059.jpg', 'Castle_024.jpg']",0.5
"['Sunflower_121.jpg', 'Sunflower_056.jpg', 'Doors_124.jpg', 'Flower_121.jpg', 'Doors_026.jpg', 'Flower_006.jpg', 'Flower_096.jpg', 'Doors_145.jpg', 'Bus_161.jpg', 'Flower_171.jpg', 'Tiger_037.jpg']",0.1
"['Sunflower_122.jpg', 'Group_005.jpg', 'DeerAntelope_012.jpg', 'Feasts_179.jpg', 'Sunflower_129.jpg', 'Group_161.jpg', 'Stalactite_051.jpg', 'Satelliteimage_139.jpg', 'Grass_128.jpg', 'Feasts_176.jpg', 'Feasts_085.jpg']",0.1
"['Sunflower_123.jpg', 'Penguin_116.jpg', 'F1_079.jpg', 'Penguin_050.jpg', 'Penguin_114.jpg', 'Sunflower_082.jpg', 'Cartoon_179.jpg', 'Billiardsball_186.jpg', 'Volleyball_013.jpg', 'Pumpkin_007.jpg', 'DeerAntelope_194.jpg']",0.1
"['Sunflower_124.jpg', 'Sunflower_143.jpg', 'Sunflower_096.jpg', 'Sunflower_165.jpg', 'Sky_183.jpg', 'Sunflower_049.jpg', 'Sunflower_047.jpg', 'DeerAntelope_179.jpg', 'Sunflower_194.jpg', 'Sunflower_088.jpg', 'Sunflower_195.jpg']",0.8
"['Sunflower_125.jpg', 'Lion_175.jpg', 'DeerAntelope_017.jpg', 'Surfs_047.jpg', 'SubSea_145.jpg', 'ClassicalPainting_182.jpg', 'Flower_165.jpg', 'Pumpkin_105.jpg', 'Lion_079.jpg', 'Model_088.jpg', 'DeerAntelope_159.jpg']",0.0
"['Sunflower_126.jpg', 'Sunflower_151.jpg', 'Sunflower_114.jpg', 'Sunflower_109.jpg', 'Sunflower_132.jpg', 'Eagle_097.jpg', 'Desert_176.jpg', 'Desert_200.jpg', 'Plane_110.jpg', 'Lion_034.jpg', 'Desert_175.jpg']",0.4
"['Sunflower_127.jpg', 'Tiger_042.jpg', 'Sunflower_091.jpg', 'BWimage_083.jpg', 'Sunflower_023.jpg', 'Sunflower_001.jpg', 'DeerAntelope_033.jpg', 'Cropcycle_019.jpg', 'Cropcycle_099.jpg', 'Waterfall_136.jpg', 'Car_003.jpg']",0.3
"['Sunflower_128.jpg', 'Owls_058.jpg', 'Indoor_077.jpg', 'Sunflower_073.jpg', 'Sunflower_187.jpg', 'Sunset_025.jpg', 'SubSea_026.jpg', 'Sunflower_087.jpg', 'Sunflower_130.jpg', 'Sunflower_152.jpg', 'Sunflower_059.jpg']",0.6
"['Sunflower_129.jpg', 'Sunflower_139.jpg', 'Sunflower_048.jpg', 'Sunflower_122.jpg', 'Pumpkin_098.jpg', 'Feasts_025.jpg', 'Sunflower_138.jpg', 'Group_057.jpg', 'Elephant_023.jpg', 'Feasts_108.jpg', 'Model_158.jpg']",0.4
"['Sunflower_130.jpg', 'Sunflower_178.jpg', 'Sunflower_050.jpg', 'Sunset_025.jpg', 'Sunflower_013.jpg', 'Elephant_078.jpg', 'Desert_189.jpg', 'Sunflower_120.jpg', 'Elephant_099.jpg', 'Sunflower_145.jpg', 'Sunflower_152.jpg']",0.6
"['Sunflower_131.jpg', 'Eagle_152.jpg', 'Plane_015.jpg', 'Eagle_147.jpg', 'Plane_051.jpg', 'Sunflower_010.jpg', 'Sunflower_069.jpg', 'Plane_180.jpg', 'Beach_015.jpg', 'Eagle_127.jpg', 'Eagle_143.jpg']",0.2
"['Sunflower_132.jpg', 'Sunflower_126.jpg', 'Sunflower_110.jpg', 'Sunflower_179.jpg', 'Sunflower_134.jpg', 'Cartoon_111.jpg', 'Sunset_029.jpg', 'Cartoon_053.jpg', 'Sunflower_114.jpg', 'Flower_024.jpg', 'Sunset_196.jpg']",0.5
"['Sunflower_133.jpg', 'Tennis_117.jpg', 'Basketball_013.jpg', 'Soccer_180.jpg', 'Flower_025.jpg', 'Basketball_023.jpg', 'SubSea_164.jpg', 'Billiardsball_156.jpg', 'Plane_001.jpg', 'Baseball_142.jpg', 'Volleyball_121.jpg']",0.0
"['Sunflower_134.jpg', 'Cartoon_111.jpg', 'Elephant_123.jpg', 'Sunflower_146.jpg', 'Cartoon_035.jpg', 'Volleyball_036.jpg', 'Cartoon_178.jpg', 'Cartoon_022.jpg', 'Tiger_044.jpg', 'Volleyball_061.jpg', 'Cartoon_179.jpg']",0.1
"['Sunflower_135.jpg', 'Doors_139.jpg', 'Pumpkin_188.jpg', 'Basketball_195.jpg', 'Archit_104.jpg', 'Group_193.jpg', 'Car_171.jpg', 'Tiger_022.jpg', 'Basketball_173.jpg', 'Basketball_178.jpg', 'Group_008.jpg']",0.0
"['Sunflower_136.jpg', 'Desert_112.jpg', 'RacingMotor_198.jpg', 'Beach_029.jpg', 'DeerAntelope_144.jpg', 'Flower_095.jpg', 'Surfs_064.jpg', 'Penguin_120.jpg', 'Sunflower_013.jpg', 'Sunflower_118.jpg', 'Elephant_089.jpg']",0.2
"['Sunflower_137.jpg', 'Sunset_128.jpg', 'Sunflower_035.jpg', 'Sunflower_143.jpg', 'Plane_077.jpg', 'Sunflower_116.jpg', 'Castle_052.jpg', 'Penguin_084.jpg', 'Lion_173.jpg', 'Indoor_147.jpg', 'Elephant_180.jpg']",0.3
"['Sunflower_138.jpg', 'Sunflower_161.jpg', 'Sunflower_129.jpg', 'DeerAntelope_009.jpg', 'Feasts_118.jpg', 'Elephant_173.jpg', 'Pumpkin_144.jpg', 'Feasts_052.jpg', 'Sculpt_014.jpg', 'DeerAntelope_012.jpg', 'Satelliteimage_125.jpg']",0.2
"['Sunflower_139.jpg', 'Sunflower_161.jpg', 'Tiger_090.jpg', 'Sunflower_129.jpg', 'Pumpkin_098.jpg', 'Grass_155.jpg', 'Satelliteimage_125.jpg', 'Stalactite_004.jpg', 'Sunflower_138.jpg', 'Castle_160.jpg', 'Lion_062.jpg']",0.3
"['Sunflower_140.jpg', 'Sculpt_056.jpg', 'Sunflower_061.jpg', 'Model_152.jpg', 'Sunflower_160.jpg', 'Car_113.jpg', 'Sunflower_111.jpg', 'Eagle_019.jpg', 'Eagle_033.jpg', 'Sunflower_010.jpg', 'Eagle_119.jpg']",0.4
"['Sunflower_141.jpg', 'DeerAntelope_180.jpg', 'Lion_055.jpg', 'Archit_165.jpg', 'Sky_139.jpg', 'RacingMotor_145.jpg', 'Lion_132.jpg', 'Plane_116.jpg', 'Sky_147.jpg', 'Sky_047.jpg', 'Lion_107.jpg']",0.0
"['Sunflower_142.jpg', 'Group_057.jpg', 'Feasts_196.jpg', 'Penguin_044.jpg', 'Group_062.jpg', 'Group_084.jpg', 'Archit_092.jpg', 'Tiger_030.jpg', 'Group_152.jpg', 'Feasts_176.jpg', 'Sunflower_184.jpg']",0.1
"['Sunflower_143.jpg', 'Elephant_180.jpg', 'Sunflower_137.jpg', 'Sunset_128.jpg', 'Sunflower_116.jpg', 'Dog_123.jpg', 'F1_186.jpg', 'Elephant_121.jpg', 'Sky_183.jpg', 'Sunflower_124.jpg', 'Castle_003.jpg']",0.3
"['Sunflower_144.jpg', 'AncestorDinoArt_180.jpg', 'Castle_054.jpg', 'Bus_068.jpg', 'AncestorDinoArt_160.jpg', 'AncestorDinoArt_120.jpg', 'Group_091.jpg', 'Model_021.jpg', 'Car_110.jpg', 'Desert_113.jpg', 'AncestorDinoArt_185.jpg']",0.0
"['Sunflower_145.jpg', 'Elephant_199.jpg', 'Plane_005.jpg', 'Model_093.jpg', 'Sunflower_038.jpg', 'Desert_189.jpg', 'Sunflower_149.jpg', 'Sunset_025.jpg', 'Bus_184.jpg', 'Bus_179.jpg', 'Plane_003.jpg']",0.2
